trial,model_type,lr,dropout,weight_decay,l1_lambda,batch_size,hidden_size,num_layers,store_embedding_size,gradient_clip,scheduler_step_size,scheduler_gamma,best_epoch,epochs_run,val_rmspe,val_rmspe_std,val_rmse,val_mae,val_r2,target,duration_seconds,status
1,GRU,0.001,0.15,0.0001,0.0,64,32,1,8,0.1,10,0.7,18,23,0.14294553744737612,0.0,1033.3726203057147,698.5201970150791,0.9182318864086316,-0.14294553744737612,159.3483845870005,ok
2,GRU,0.00017745172999880445,0.33275000724347065,4.570563099801446e-05,0.0,32,32,3,8,1.0,10,0.7,21,25,0.13234204801031185,0.0,974.7329532664169,617.0124039931519,0.9272485966759527,-0.13234204801031185,354.0721145790003,ok
3,GRU,5.0112934136198784e-05,0.1607371121880535,4.6616864139127617e-07,0.0,256,128,2,4,0.5,10,0.7,16,21,0.1570030780080249,0.0,1134.0154932958221,703.1713387477998,0.9015290668036243,-0.1570030780080249,79.27094151700021,ok
4,GRU,0.0008790175469217571,0.3284934481555125,1.0090061869151558e-08,0.0,256,32,1,32,0.5,10,0.7,22,25,0.13313337830553162,0.0,1045.9099347755591,647.9891894736529,0.9162357596949873,-0.13313337830553162,74.64852678099942,ok
5,GRU,0.0003544156274773104,0.1511807565247405,2.858549394196188e-07,0.0,128,128,2,32,5.0,10,0.7,14,19,0.13495577393805264,0.0,941.1431417707854,598.0941475823794,0.9321763057851288,-0.13495577393805264,96.65702607599997,ok
6,GRU,0.0028022768411997156,0.08146996915060647,2.8381292701126713e-08,0.0,64,128,3,32,5.0,10,0.7,3,8,0.12866491876407815,0.0,987.0683867022809,606.7042864436856,0.9253955791860119,-0.12866491876407815,70.91523724099989,ok
7,GRU,0.00027134747615629697,0.30097914235771217,2.520795953048918e-05,0.0,32,128,2,32,0.1,10,0.7,19,24,0.12638205981608835,0.0,927.7317910391669,582.3936087009961,0.9340955172825318,-0.12638205981608835,317.8020357919995,ok
8,GRU,0.0004561994148405035,0.28768725841091697,5.055473694381143e-06,0.0,32,128,2,32,0.5,10,0.7,16,21,0.12504246692484342,0.0,881.6585138999549,557.9590263789917,0.9404789081908129,-0.12504246692484342,276.5917686820003,ok
9,GRU,0.0031622776601683794,0.35,1e-08,0.0,32,32,3,32,0.1,10,0.7,22,25,0.13331189989712697,0.0,977.5964337397736,620.8562644708611,0.9268205241110015,-0.13331189989712697,353.662058891,ok
10,GRU,0.0031622776601683794,0.35,0.001,0.0,32,128,3,32,5.0,10,0.7,3,8,0.1352418610826603,0.0,982.7917269678,622.3810739946515,0.9260406541128441,-0.1352418610826603,115.95638183200026,ok
11,GRU,0.0031622776601683794,0.0,1e-08,0.0,32,32,1,32,5.0,10,0.7,3,8,0.12947679860091899,0.0,936.445344768509,599.9339451669283,0.9328517115099793,-0.12947679860091899,91.67616232799992,ok
12,GRU,3.1622776601683795e-05,0.35,2.256526232032216e-07,0.0,32,32,3,32,5.0,10,0.7,24,25,0.1487135727027652,0.0,1095.3300386099277,690.7403077051447,0.9081328859231977,-0.1487135727027652,353.4623476249999,ok
13,GRU,0.0026236280163278486,0.24655943279036321,2.1351496624044795e-06,0.0,32,128,3,32,0.1,10,0.7,5,10,0.1283205340623273,0.0,937.8979746825897,587.8044252622702,0.9326432268030227,-0.1283205340623273,144.9044614660006,ok
14,GRU,0.0031622776601683794,0.0,8.507292814537278e-08,0.0,32,128,1,32,0.5,10,0.7,3,8,0.15037949041016277,0.0,1060.40270770234,662.4167773088351,0.9138982985537412,-0.15037949041016277,92.89507766999941,ok
15,GRU,0.0005394640092170151,0.3184524842062434,2.0636253822177774e-05,0.0,32,128,3,32,0.5,10,0.7,12,17,0.1275472967833947,0.0,922.2884664725839,584.7269010838063,0.9348666174403586,-0.1275472967833947,246.13060300000052,ok
16,GRU,6.644169993575373e-05,0.35,2.8859638993068796e-06,0.0,32,128,3,32,0.1,10,0.7,19,24,0.1370413471374657,0.0,1036.8399592625021,653.3882914939168,0.9176822426258756,-0.1370413471374657,345.8694092400001,ok
17,GRU,0.0010112415803713378,0.35,2.662564790205799e-05,0.0,32,64,2,32,0.5,10,0.7,21,25,0.13120115412451355,0.0,952.7210905132117,607.4066141619924,0.930497306380727,-0.13120115412451355,322.45950793200063,ok
18,GRU,0.0005331868495898215,0.0,2.4818987000057424e-05,0.0,64,128,2,32,0.5,10,0.7,12,17,0.1294460501644058,0.0,886.4437366533045,573.2205829454031,0.9398310505076214,-0.1294460501644058,131.44102144000135,ok
19,GRU,0.0003538630557274616,0.35,2.7421332227561705e-05,0.0,32,128,2,16,0.5,10,0.7,8,13,0.13550757294309546,0.0,980.3760047301336,617.87028103243,0.9264037944410275,-0.13550757294309546,170.5167368099992,ok
20,GRU,0.0031622776601683794,0.35,3.837392665201007e-06,0.0,64,128,3,32,0.5,10,0.7,6,11,0.1344645818190199,0.0,1060.9147659157218,662.1555979676751,0.9138151231182441,-0.1344645818190199,93.47611863499878,ok
21,GRU,0.0031622776601683794,0.0,1.6824658703715146e-05,0.0,32,128,2,32,0.1,10,0.7,5,10,0.1310528129275135,0.0,881.1880566861792,562.9087815637429,0.9405424127235485,-0.1310528129275135,128.82778366300045,ok
