trial,model_type,lr,dropout,weight_decay,l1_lambda,batch_size,hidden_size,num_layers,store_embedding_size,gradient_clip,scheduler_step_size,scheduler_gamma,best_epoch,epochs_run,val_rmspe,val_rmspe_std,val_rmse,val_mae,val_r2,target,duration_seconds,status
1,LSTM,0.001,0.15,0.0001,0.0,64,32,1,8,0.1,10,0.7,12,17,0.13334247996103124,0.0,1022.523567433371,637.6542012866613,0.9199397889489088,-0.13334247996103124,126.83315598600029,ok
2,LSTM,0.00017745172999880445,0.33275000724347065,4.570563099801446e-05,0.0,32,32,3,8,1.0,10,0.7,15,20,0.13321084755314386,0.0,954.8328472376081,602.8178462823005,0.9301888521082317,-0.13321084755314386,314.8261257859999,ok
3,LSTM,5.0112934136198784e-05,0.1607371121880535,4.6616864139127617e-07,0.0,256,128,2,4,0.5,10,0.7,16,21,0.1535315442469079,0.0,1062.5080326186637,664.0408533493073,0.9135560662961959,-0.1535315442469079,102.3257426250002,ok
4,LSTM,0.0008790175469217571,0.3284934481555125,1.0090061869151558e-08,0.0,256,32,1,32,0.5,10,0.7,16,21,0.1612373204278425,0.0,1265.8210577789932,844.9879950509953,0.8773084339450459,-0.1612373204278425,73.32656651199977,ok
5,LSTM,0.0003544156274773104,0.1511807565247405,2.858549394196188e-07,0.0,128,128,2,32,5.0,10,0.7,20,23,0.1259672714463944,0.0,903.0730569285121,575.5374229900317,0.9375523861793246,-0.1259672714463944,130.82599110900037,ok
6,LSTM,0.0028022768411997156,0.08146996915060647,2.8381292701126713e-08,0.0,64,128,3,32,5.0,10,0.7,2,7,0.1367128800657053,0.0,972.0580574839163,609.1863547687566,0.9276473426174598,-0.1367128800657053,65.44181975099991,ok
7,LSTM,0.00027134747615629697,0.30097914235771217,2.520795953048918e-05,0.0,32,128,2,32,0.1,10,0.7,9,14,0.132961333116026,0.0,976.5141194278858,617.4283239054964,0.9269824709997793,-0.132961333116026,191.9221436050002,ok
8,LSTM,0.0008700247977548438,0.1273873114303758,4.323277349862754e-06,0.0,128,128,2,32,5.0,10,0.7,10,15,0.12823633688056918,0.0,907.1152898057998,582.3900338758436,0.9369920932106702,-0.12823633688056918,83.81979313400007,ok
9,LSTM,3.5015321060676223e-05,0.20333019633046337,2.3572313222937845e-06,0.0,32,128,2,32,5.0,10,0.7,23,25,0.14096097867184576,0.0,1046.8525397030708,668.530485542894,0.9160847100452268,-0.14096097867184576,340.74695927699986,ok
10,LSTM,0.00011456904211827516,0.35,1.1868822384089775e-06,0.0,256,128,3,32,5.0,10,0.7,24,25,0.1525812726146784,0.0,1114.731447571536,703.9582141419698,0.9048496075639609,-0.1525812726146784,145.1372766049999,ok
11,LSTM,0.0005270123471236849,0.13560369654763835,7.707322689374639e-07,0.0,128,128,1,32,5.0,10,0.7,9,14,0.13286446902112092,0.0,997.3865238050503,641.0038692560357,0.9238276999543406,-0.13286446902112092,67.19693785100026,ok
12,LSTM,0.0009004079840041088,0.10478352560104759,6.733025603821898e-07,0.0,64,128,2,32,5.0,10,0.7,13,18,0.12253407816343348,0.0,898.6392063608226,566.484873829286,0.9381640834803577,-0.12253407816343348,144.98105724499965,ok
13,LSTM,0.0031622776601683794,0.0,1.5301367642168323e-06,0.0,64,128,2,32,1.0,10,0.7,3,8,0.1542269414152356,0.0,1039.8229287234087,671.9133494630306,0.9172079079370845,-0.1542269414152356,63.59427731899996,ok
14,LSTM,0.0015718158283678034,0.10004006222353738,6.454392869669384e-07,0.0,128,128,2,32,5.0,10,0.7,9,14,0.12716790603235173,0.0,901.6845128157679,573.8475078870985,0.9377442745392934,-0.12716790603235173,77.3188443400004,ok
15,LSTM,0.00031656433583199185,0.35,1.7349497593213905e-07,0.0,64,128,2,32,5.0,10,0.7,13,18,0.13252179771044437,0.0,978.7483502742806,618.0781875874898,0.9266479655595291,-0.13252179771044437,145.94966154200029,ok
16,LSTM,0.0002620583969739561,0.0,1.9532880774517073e-06,0.0,64,128,2,32,5.0,10,0.7,22,25,0.12894208215143427,0.0,969.378980618658,607.0017623074424,0.9280456135054235,-0.12894208215143427,199.13981430900003,ok
17,LSTM,0.0007050750817665769,0.0,6.34453555188797e-07,0.0,64,128,2,16,5.0,10,0.7,12,17,0.1346618984597092,0.0,1048.6912205014012,650.5901615562391,0.9157896753079535,-0.1346618984597092,135.49993049500063,ok
18,LSTM,0.00058215350038497,0.0,7.123937448144242e-07,0.0,128,64,2,32,5.0,10,0.7,18,23,0.12733839321994475,0.0,933.380214703947,587.4011338903773,0.9332905655265263,-0.12733839321994475,114.13577418800014,ok
19,LSTM,0.0008165542341544372,0.35,8.248495881013072e-07,0.0,64,64,2,32,5.0,10,0.7,13,18,0.135778129459364,0.0,1019.8979956779032,654.9354412850685,0.920350408247022,-0.135778129459364,139.44101153199972,ok
20,LSTM,0.000673202889797417,0.0,7.611915628757438e-07,0.0,64,128,3,32,5.0,10,0.7,5,10,0.13632921218876065,0.0,1008.9348587295012,643.2075262523712,0.9220535515292986,-0.13632921218876065,91.98075922399948,ok
21,LSTM,0.0009282523617253005,0.0,7.204919661781876e-08,0.0,128,64,2,32,5.0,10,0.7,15,17,0.13204349569774543,0.0,958.3791976992026,601.8934764741903,0.9296693170780036,-0.13204349569774543,84.61872352000046,ok
