trial,model_type,lr,dropout,weight_decay,l1_lambda,batch_size,hidden_size,num_layers,store_embedding_size,gradient_clip,scheduler_step_size,scheduler_gamma,best_epoch,epochs_run,val_rmspe,val_rmspe_std,val_rmse,val_mae,val_r2,target,duration_seconds,status
1,RNN,0.001,0.15,0.0001,0.0,64,32,1,8,0.1,10,0.7,9,14,0.17391402890162894,0.0,1174.7610186495533,758.172242205755,0.8943257602955901,-0.17391402890162894,99.52919479599996,ok
2,RNN,0.00017745172999880445,0.33275000724347065,4.570563099801446e-05,0.0,32,32,3,8,1.0,10,0.7,23,25,0.13205457083406016,0.0,990.0127099947199,622.2924864036519,0.92494984077971,-0.13205457083406016,320.815198706,ok
3,RNN,5.0112934136198784e-05,0.1607371121880535,4.6616864139127617e-07,0.0,256,128,2,4,0.5,10,0.7,23,25,0.16363914077713393,0.0,1159.1864521278394,727.4339172256822,0.8971091699090837,-0.16363914077713393,83.1643511420001,ok
4,RNN,0.0008790175469217571,0.3284934481555125,1.0090061869151558e-08,0.0,256,32,1,32,0.5,10,0.7,24,25,0.1725900268581155,0.0,1165.8899883526688,735.5884960331156,0.8959157005494471,-0.1725900268581155,73.80056962700007,ok
5,RNN,0.0003544156274773104,0.1511807565247405,2.858549394196188e-07,0.0,128,128,2,32,5.0,10,0.7,3,8,0.1685299882120366,0.0,1254.9974511916364,780.027896697599,0.8793976514441881,-0.1685299882120366,37.08790650700007,ok
6,RNN,0.0028022768411997156,0.08146996915060647,2.8381292701126713e-08,0.0,64,128,3,32,5.0,10,0.7,13,18,0.13476181690177488,0.0,911.9357342636068,580.0079400392518,0.9363206612009783,-0.13476181690177488,136.8362782050001,ok
7,RNN,0.00027134747615629697,0.30097914235771217,2.520795953048918e-05,0.0,32,128,2,32,0.1,10,0.7,2,7,0.15772814838930582,0.0,1146.8372488300722,729.1548063509048,0.8992897537244684,-0.15772814838930582,85.50288195300004,ok
8,RNN,0.0002400518114174229,0.03490584032035884,1.6838041258883237e-08,0.0,64,32,1,8,0.5,10,0.7,7,12,0.20351123281050357,0.0,1438.4268257545432,932.1900331315184,0.8415670075638333,-0.20351123281050357,78.7780538579998,ok
9,RNN,0.0020544268834020232,0.0872526943315923,1.0439236630309536e-08,0.0,64,32,1,4,1.0,10,0.7,3,8,0.18523536038767113,0.0,1226.941007808443,795.2552214005136,0.8847296951731014,-0.18523536038767113,52.93737009899996,ok
10,RNN,5.2862053926099246e-05,0.35,0.00014330788247804332,0.0,32,64,3,8,1.0,10,0.7,19,24,0.1463457060520332,0.0,1046.2655700476655,666.3801769574109,0.9161787861794102,-0.1463457060520332,312.57148104500016,ok
11,RNN,0.0006386938465489186,0.35,3.163975133940487e-05,0.0,32,32,3,16,5.0,10,0.7,2,7,0.1555298316146945,0.0,1167.7935966569116,727.1668577707386,0.8955755355391295,-0.1555298316146945,90.81417124900008,ok
12,RNN,0.0008376253872042429,0.35,0.00017899578881614333,0.0,32,32,3,4,1.0,10,0.7,2,7,0.15693668035340194,0.0,1185.1402836386787,731.21607313995,0.8924502022156584,-0.15693668035340194,90.51314975499986,ok
13,RNN,3.1622776601683795e-05,0.0,6.7152346533326204e-06,0.0,32,32,3,8,1.0,10,0.7,8,13,0.21636438506765962,0.0,1673.2030225495764,1187.4656871405716,0.7856283461832358,-0.21636438506765962,163.82968971700006,ok
14,RNN,0.00020417586339048274,0.2205465901631408,5.968241435959187e-08,0.0,128,32,2,16,0.1,10,0.7,24,25,0.13754609124805517,0.0,998.3138576039981,628.9400144130375,0.9236859896251594,-0.13754609124805517,108.91954468300014,ok
15,RNN,0.00015032592852261435,0.18735345295935818,7.869462771230643e-06,0.0,256,128,3,16,5.0,10,0.7,13,18,0.15461009008376556,0.0,1073.618898925549,675.9302289327121,0.9117386891813067,-0.15461009008376556,62.51552742600006,ok
16,RNN,0.00026933129272412173,0.284077205859712,0.0002042176591465788,0.0,128,32,2,16,0.5,10,0.7,25,25,0.13437702990536615,0.0,967.4228642463277,610.4185971951515,0.9283357149929616,-0.13437702990536615,110.14049762100012,ok
17,RNN,0.0013688620197335709,0.011462081779409876,0.0002024587652035299,0.0,32,64,3,16,1.0,10,0.7,9,14,0.19329938754602202,0.0,1112.5995558243912,761.5442498739623,0.905213204310252,-0.19329938754602202,181.13316510200002,ok
18,RNN,0.00023587412594533997,0.10353274168119514,0.00014192603445247902,0.0,256,32,1,4,5.0,10,0.7,8,13,0.21006398549687655,0.0,1413.3247995629379,915.3932144212499,0.8470483956771875,-0.21006398549687655,37.814049418000195,ok
19,RNN,0.00025780856368831645,0.29189053835024753,7.1733733229855315e-06,0.0,32,128,2,32,5.0,10,0.7,2,7,0.16891157169592877,0.0,1304.3536173903142,816.0281452107911,0.869725093099121,-0.16891157169592877,88.32792842000026,ok
20,RNN,0.0012973276781736566,0.104969848661122,5.805419499621873e-06,0.0,128,32,2,16,0.1,10,0.7,1,6,0.2721368518029087,0.0,1387.5657524017547,973.2841059578219,0.8525729342522258,-0.2721368518029087,29.230411620999803,ok
21,RNN,0.001228309704650233,0.33460075778830817,2.798400040294004e-05,0.0,32,128,2,4,0.5,10,0.7,3,8,0.1877127244405158,0.0,1422.1501156697245,878.1581140002864,0.8451322604419428,-0.1877127244405158,103.67064451700026,ok
